Order	Song	Info	Concert	Date
1	Break Stuff		Limp Bizkit at Sonic Temple 2024	2024-05-19
2	Hot Dog		Limp Bizkit at Sonic Temple 2024	2024-05-19
3	Thieves	(Ministry cover) (short version)	Limp Bizkit at Sonic Temple 2024	2024-05-19
4	My Generation		Limp Bizkit at Sonic Temple 2024	2024-05-19
5	Rollin' (Air Raid Vehicle)		Limp Bizkit at Sonic Temple 2024	2024-05-19
6	My Way		Limp Bizkit at Sonic Temple 2024	2024-05-19
7	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Sonic Temple 2024	2024-05-19
8	Nookie	(until the second chorus)	Limp Bizkit at Sonic Temple 2024	2024-05-19
9	Full Nelson	(with fan)	Limp Bizkit at Sonic Temple 2024	2024-05-19
10	Faith	(George Michael cover)	Limp Bizkit at Sonic Temple 2024	2024-05-19
11	Take a Look Around		Limp Bizkit at Sonic Temple 2024	2024-05-19
12	Break Stuff		Limp Bizkit at Sonic Temple 2024	2024-05-19
1	Break Stuff		Limp Bizkit at Welcome to Rockville 2024	2024-05-10
2	Hot Dog		Limp Bizkit at Welcome to Rockville 2024	2024-05-10
3	My Generation		Limp Bizkit at Welcome to Rockville 2024	2024-05-10
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Welcome to Rockville 2024	2024-05-10
5	My Way		Limp Bizkit at Welcome to Rockville 2024	2024-05-10
6	Behind Blue Eyes	(The Who cover) (with Jelly Roll)	Limp Bizkit at Welcome to Rockville 2024	2024-05-10
7	Nookie	(Fred does a gender reveal)	Limp Bizkit at Welcome to Rockville 2024	2024-05-10
8	Tip Toe Wing In My Jawwdinz	(RiFF RAFF cover) (with RiFF RAFF)	Limp Bizkit at Welcome to Rockville 2024	2024-05-10
9	Faith	(George Michael cover)	Limp Bizkit at Welcome to Rockville 2024	2024-05-10
10	Heart-Shaped Box	(Nirvana cover) (partial)	Limp Bizkit at Welcome to Rockville 2024	2024-05-10
11	Take a Look Around		Limp Bizkit at Welcome to Rockville 2024	2024-05-10
12	Break Stuff	(Fred brings kids on stage)	Limp Bizkit at Welcome to Rockville 2024	2024-05-10
1	Break Stuff		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
2	Hot Dog		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
3	Take a Look Around		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
5	My Generation		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
6	Faith	(George Michael cover)	Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
7	My Way		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
8	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
9	Nookie		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
10	Boiler		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
11	Break Stuff		Limp Bizkit at Lollapalooza Brazil 2024	2024-03-23
1	Break Stuff		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
3	Take a Look Around		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
4	Hot Dog		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
5	My Way		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
6	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Estéreo Picnic 2024	2024-03-21
7	Faith	(George Michael cover)	Limp Bizkit at Estéreo Picnic 2024	2024-03-21
8	My Generation		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
9	Nookie		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
10	Boiler		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
11	Break Stuff		Limp Bizkit at Estéreo Picnic 2024	2024-03-21
1	Turn It Up, Bitch	(John Otto rapping, Fred Durst introducing the band)	Limp Bizkit at Asunciónico 2024	2024-03-19
2	Break Stuff		Limp Bizkit at Asunciónico 2024	2024-03-19
3	My Generation		Limp Bizkit at Asunciónico 2024	2024-03-19
4	Hot Dog	(preceded by 'Master of Puppets' snippet)	Limp Bizkit at Asunciónico 2024	2024-03-19
5	Rollin' (Air Raid Vehicle)		Limp Bizkit at Asunciónico 2024	2024-03-19
6	Take a Look Around		Limp Bizkit at Asunciónico 2024	2024-03-19
7	Re-Arranged	(preceded by 'Jerry Was a Race Car Driver' snippet)	Limp Bizkit at Asunciónico 2024	2024-03-19
8	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Asunciónico 2024	2024-03-19
9	My Way		Limp Bizkit at Asunciónico 2024	2024-03-19
10	Faith	(George Michael cover)	Limp Bizkit at Asunciónico 2024	2024-03-19
11	Nookie		Limp Bizkit at Asunciónico 2024	2024-03-19
12	Break Stuff	(with fan Agus on vocals as guest)	Limp Bizkit at Asunciónico 2024	2024-03-19
1	Turn It Up, Bitch	(John Otto rapping, Fred Durst introducing the band)	Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
2	Break Stuff		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
3	Take a Look Around		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
4	Hot Dog		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
5	Rollin' (Air Raid Vehicle)		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
6	My Generation	(Song stopped in order for medical assistance to be provided to a fan)	Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
7	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
8	Nookie		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
9	Full Nelson		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
10	Re-Arranged	(preceded by 'Jerry Was a Race Car Driver' snippet)	Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
11	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
12	Break Stuff		Limp Bizkit at Lollapalooza Argentina 2024	2024-03-17
1	Break Stuff		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
2	Rollin' (Air Raid Vehicle)		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
3	Nookie		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
4	My Way		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
5	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
6	Faith	(George Michael cover)	Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
7	My Generation	(preceded by 'Master of Puppets' snippet)	Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
8	Heart-Shaped Box	(Nirvana cover) (First verse and chorus only)	Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
9	Take a Look Around		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
10	Turn It Up, Bitch	(live debut)	Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
11	Hot Dog	(preceded by 'Master of Puppets' and 'South of Heaven' snippets)	Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
12	Boiler		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
13	Break Stuff		Limp Bizkit at Lollapalooza Chile 2024	2024-03-15
1	Break Stuff		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
2	Show Me What You Got		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
3	Hot Dog		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
4	My Generation		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
5	Livin' It Up		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
6	My Way		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
7	Behind Blue Eyes	(The Who cover)	Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
8	Rollin' (Air Raid Vehicle)		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
9	Faith	(George Michael cover)	Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
10	Boiler		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
11	Take a Look Around		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
12	Nookie		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
13	Full Nelson		Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
14	Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
15	Break Stuff	(Reprise)	Limp Bizkit at John Cain Arena, Melbourne, Australia	2023-12-08
1	Dirty Rotten Bizkit	(first time opening a show)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
2	Show Me What You Got		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
3	9 Teen 90 Nine		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
4	Hot Dog		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
5	Pollution	(Played until the first chorus)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
6	Rollin' (Air Raid Vehicle)		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
7	My Way		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
8	My Generation		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
9	Nookie		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
10	Full Nelson		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
11	Re-Arranged		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
12	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
13	Take a Look Around		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
14	Boiler		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia	2023-12-06
